"hgnc_symbol" "ensembl_gene_id.y" "HF_WR_1" "HF_WR_3" "HF_WR_5" "HF_WR_7" "HF_WR_9" "HF_WR_11" "HF_WR_13" "HF_WR_15" "HF_WR_17" "HF_WR_1.1" "HF_WR_3.1" "HF_WR_5.1" "HF_WR_7.1" "HF_WR_9.1" "HF_WR_11.1" "HF_WR_13.1" "HF_WR_15.1" "HF_WR_17.1"
"1" "A1BG" "ENSG00000121410" 7.264333402 5.877026108 8.675677804 7.106624904 6.622969325 7.308608405 7.116167194 5.401616689 5.334546377 3.039621498 2.441030946 3.520174105 5.854103432 5.173543594 5.068692391 4.2358288 5.414870659 4.730964997
"2" "A4GALT" "ENSG00000128274" 36.45081071 33.20519751 32.7840517 31.69352623 27.53135679 31.52425514 32.75741741 30.29733606 29.17835215 32.21372061 32.72789638 27.58718005 59.88145988 55.36923442 60.23568635 54.33963232 51.71505685 57.58340236
"3" "AAAS" "ENSG00000094914" 41.55198706 34.64506891 43.71206894 36.44250306 36.73817513 35.22561047 38.60592729 41.40233574 42.64942886 33.74919951 38.54417999 36.45002974 41.38905838 42.74332446 39.53580065 35.76249744 40.76363305 38.79951175
"4" "AACS" "ENSG00000081760" 45.71687154 40.78656119 47.41035467 41.4272447 43.2423468 43.6320785 55.863353 49.85179201 49.81604167 48.10122679 48.94116365 54.94966813 37.88753857 39.14032088 36.36378025 34.27995736 36.59600788 39.16343214
"5" "AADAC" "ENSG00000114771" 0.25828741 0.205695914 0.222453277 0.235764807 0.326693554 0.31367418 0.144051967 0.150883148 0.161652921 0.282026737 0.180817107 0.624144345 1.47720367 1.662924727 0.948335996 1.72458744 1.368927975 1.483675413
"6" "AADACL2" "ENSG00000261846" 2.356872615 1.968803746 2.502599367 1.818757084 2.375953121 1.662473157 2.679366595 1.508831477 1.832066432 2.193541287 1.687626333 2.796166665 3.200607951 3.233464746 2.38719061 2.39021768 2.677014708 2.799387572
"7" "AADACL2" "ENSG00000197953" 2.356872615 1.968803746 2.502599367 1.818757084 2.375953121 1.662473157 2.679366595 1.508831477 1.832066432 2.193541287 1.687626333 2.796166665 3.200607951 3.233464746 2.38719061 2.39021768 2.677014708 2.799387572
"8" "AADAT" "ENSG00000109576" 14.62552458 13.95793701 16.65618912 13.00074508 14.58241228 12.04508853 19.5046364 14.51495881 16.46165574 11.81378665 10.125758 13.93090178 9.02735576 8.160649122 9.254451268 6.11169584 6.053703714 7.362389315
"9" "AAGAB" "ENSG00000103591" 58.76038574 62.32586188 59.39502497 53.82173742 60.08191455 50.59564531 60.61706792 65.60399263 67.89422661 65.61822078 69.73513096 58.36997914 61.24924105 65.28519298 67.42995942 63.71896752 68.75060499 58.05929825
"10" "AAK1" "ENSG00000115977" 55.43493534 68.70243521 62.70401746 57.62765502 57.08227373 56.99459859 60.12729123 53.95581363 62.99075469 65.33619405 62.4723105 47.43497021 81.6565362 67.93355458 79.72562612 94.15642305 72.46192083 71.6083341
"11" "AAMDC" "ENSG00000087884" 11.0740727 9.19754586 9.954784147 8.655936494 8.553431236 9.190653488 9.536240248 9.535814937 10.13024969 9.212873405 7.986088896 8.2886369 10.09422508 11.08616485 9.712268646 8.955752321 11.07310629 9.48992387
"12" "AAMP" "ENSG00000127837" 89.3674438 84.04147335 85.81135161 80.66524476 74.75342507 76.34829553 92.39493195 90.25829897 89.4748915 78.12140612 77.11849617 77.61859073 89.808512 95.7413514 97.28619266 85.83604505 89.43662773 88.99253093
"13" "AAR2" "ENSG00000131043" 46.26573229 41.99135154 38.81809684 37.11611679 36.0253892 36.07253076 39.58548067 42.33781125 42.51471809 44.52888812 42.88379056 40.91890325 39.00911913 38.46283303 37.47562245 38.48553024 38.72545139 35.46824054
"14" "AARS2" "ENSG00000124608" 25.86102691 26.82862418 27.94569293 27.55080176 22.66065289 24.81162768 24.43121369 24.59395308 23.81686362 22.65614786 22.05968706 19.82282439 25.00303989 25.74453836 25.01644954 22.48014856 21.72032388 22.50707608
"15" "AARSD1" "ENSG00000266967" 3.357736328 2.262655052 3.475832454 3.435430048 3.474831439 3.199476641 5.84850988 5.280910171 5.981158059 4.825790831 5.123151367 4.643633926 3.03647421 3.01790043 2.517995575 2.81380056 2.403229112 3.331271211
"16" "AASDH" "ENSG00000157426" 19.59755722 19.45295642 18.71388193 16.94138543 17.19596071 15.27593259 15.70166446 16.05396692 15.76115975 13.63129228 12.41610802 14.97946428 16.87841971 18.81568533 15.56579083 13.40337256 17.46143684 16.3764173
"17" "AASDHPPT" "ENSG00000149313" 59.18010278 61.26799718 55.19621936 51.90193828 53.93413585 49.34094859 57.21744149 55.13270218 54.45009206 52.30029154 49.93565774 48.55843003 49.13069983 52.87484733 50.29450901 47.86486544 49.4030896 47.84153361
"18" "AASS" "ENSG00000008311" 1.9694415 1.968803746 2.363566068 1.145143349 1.455271287 1.12922705 2.938660137 1.780421143 2.155372273 0.658062386 0.783540797 0.873802083 24.31914931 19.92430182 22.07333783 20.30172232 21.23359393 20.51951091
"19" "AATBC" "ENSG00000215458" 1.000863713 1.351716005 1.668399578 1.414588843 1.217675975 1.756575411 1.267657314 1.478654848 1.616529205 1.22211586 0.813676982 2.371748511 6.811550255 4.311286329 6.671053211 6.051184 4.53267263 5.318836388
"20" "AATF" "ENSG00000276072" 53.7883531 56.41945064 53.61123976 53.68701467 51.17209034 47.45890351 46.32711275 54.71022937 53.9651333 52.89568132 54.66703871 47.48490176 52.52279715 52.25894928 54.83998154 45.26285632 50.28528763 48.90530089
"21" "AATF" "ENSG00000275700" 53.7883531 56.41945064 53.61123976 53.68701467 51.17209034 47.45890351 46.32711275 54.71022937 53.9651333 52.89568132 54.66703871 47.48490176 52.52279715 52.25894928 54.83998154 45.26285632 50.28528763 48.90530089
"22" "AATK" "ENSG00000181409" 1.162293344 1.263560613 1.890852855 1.582992277 1.425571873 1.223329304 2.506504234 2.504660252 2.370909501 1.848841942 2.230077654 2.646372022 0.793313082 0.646692949 1.209945926 0.756398 0.638833055 0.615865266
"23" "ABALON" "ENSG00000281376" 3.228592623 4.231458798 3.865125688 2.795497 3.148137885 3.764090166 5.560405945 5.371440059 4.930414076 4.105055837 4.731380969 3.694934522 6.346504656 6.682493809 7.717492931 5.99067216 6.570854282 6.578560795
"24" "ABAT" "ENSG00000183044" 111.8384485 109.4596113 104.6086535 109.563274 110.9570108 113.6127882 91.09846424 83.9513834 90.74117271 98.67802161 92.39754172 117.6137604 72.43769107 69.01137616 72.3351456 85.95706873 72.09687337 73.76386253
